3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
191340000,205370000,227170000,42641000,35812000,36015000
22043000,16277000,23178000,30828000,25730000,33931000
5586800,0,0,21314000,31701000,28496000
125840000,92881000,110130000,69500000,73570000,74611000
21041000,13922000,24732000,13283000,11406000,9585500
1115800,0,0,1070800,0,1001200
12656000,17023000,17032000,37083000,36826000,38285000
0,0,0,1182900,0,0
23487000,18740000,20746000,23201000,26923000,23175000
366830000,261030000,249460000,368400000,399160000,375410000
3244800,3278500,3094700,3773800,3816900,4706100
10154000,8429700,12711000,7515100,6261900,6786200
55165000,56010000,76545000,50611000,51330000,49664000
33649000,36133000,32616000,26708000,27754000,19842000
0,0,0,2220900,2713100,2904600
77586000,77457000,59943000,56152000,58974000,52806000
0,0,0,0,0,2144200
0,0,0,2163900,2059000,2083100
66184000,68396000,52019000,62003000,72085000,58298000
13189000,10469000,12557000,11983000,12297000,18494000
0,0,0,0,0,1010000
5472500,7203100,5692900,4958100,4936000,0
7062600,7312900,0,8504100,8142100,7557800
461210,0,0,0,0,0
15975000,18251000,20864000,42079000,35625000,41341000
17077000,16050000,13451000,23292000,25396000,20294000
12115000,12465000,12781000,6372400,6747200,7909500
30018000,31686000,29937000,22795000,21151000,26174000
14748000,22922000,29209000,18893000,23447000,16814000
0,0,375070,0,0,0
7062700,6710300,6155800,11285000,12690000,14252000
20428000,21629000,25851000,22747000,32657000,23505000
0,0,0,10433000,0,9278100
0,0,430600,0,0,0
0,0,0,0,0,823020
0,0,0,0,0,991250
0,0,0,0,2679100,0
7716400,7846900,5575500,10381000,9961500,11899000
0,0,0,2679600,2133800,2408100
7844900,9483600,12059000,5599000,4435300,5080400
120200000,99121000,83851000,98401000,115090000,93043000
73935000,50507000,63425000,96813000,103000000,101980000
22294000,24649000,25870000,38896000,38522000,30553000
0,0,0,0,5663300,0
1788700,2097400,1748600,4590400,7349000,2648600
0,5428100,0,6820900,8782400,6424500
0,0,0,1532300,0,0
100410000,95234000,142980000,28731000,20394000,25033000
87897000,96403000,110060000,199500000,184650000,186040000
5185100,7825300,4531700,16639000,23914000,7176400
17040000,12259000,17434000,0,0,0
53565000,60397000,36863000,46524000,55013000,40382000
4916900,5825100,5450900,7699200,8179400,7055200
3037300,2910700,4674000,6518700,5432600,4488900
0,0,0,2614000,2666900,0
561700000,580460000,580630000,461270000,500650000,479400000
77501000,80779000,78408000,60032000,81545000,55927000
0,0,0,0,0,4146200
12426000,15734000,11145000,16155000,13860000,13116000
0,0,0,1736100,0,1889100
6252900,5560200,7180700,8214300,9320600,5496600
15806000,0,0,0,8822100,0
3462600,3406300,2913300,2334100,2537300,2499100
6035500,6057900,8847400,3754500,3057700,3669700
10270000,11902000,8695100,7807800,9434400,6407000
6142700,7954300,4641900,12361000,0,12943000
9713900,11005000,10654000,22355000,27399000,24489000
0,0,0,1794000,0,0
32249000,34447000,27736000,30433000,32786000,29445000
0,0,898050,0,1349400,0
24918000,21332000,29761000,22648000,17523000,35008000
271900000,287490000,225120000,234100000,277190000,191360000
0,0,0,0,0,5054400
45832000,39802000,47599000,31812000,23704000,29271000
7093700,9691400,9235600,7653600,7262100,5331100
25898000,25647000,22445000,37520000,29726000,29035000
9513100,10467000,9240900,11442000,12712000,9713600
71977000,96297000,73349000,79191000,89633000,80575000
30096000,23310000,28120000,25732000,30318000,28826000
522610000,523010000,504550000,752320000,785110000,677750000
294300000,211240000,244340000,373190000,370360000,367070000
11568000,16818000,13938000,21490000,25159000,24570000
0,0,0,20612000,19359000,16288000
0,0,0,0,3728600,0
26022000,28709000,28886000,39017000,43674000,45410000
34947000,32362000,35220000,26723000,24880000,24579000
73777000,78532000,80238000,46849000,40535000,42139000
0,0,0,0,0,1033900
34733000,44061000,46644000,72601000,80469000,72775000
950760,0,0,0,2106300,0
0,6727400,3976000,14014000,9263500,0
235730000,194540000,221040000,7721600,7508800,7314900
17550000,16878000,14654000,14980000,14524000,13475000
50151000,46801000,44541000,96680000,95545000,101980000
0,1856300,0,5091800,3514700,2137600
32042000,31565000,29241000,19359000,21423000,18112000
485890000,481830000,433870000,302660000,336750000,297750000
0,0,0,2649600,3787700,0
5918000,5224700,6617000,7598700,12453000,7659300
2940900,3492300,2787400,3027800,4115700,3322100
21980000,20387000,24820000,20970000,26746000,28465000
6072700,4645300,4893900,0,0,3302800
9363000,8208600,6924700,9817600,12498000,6936800
47980000,46422000,53691000,37131000,41380000,36159000
15437000,15128000,15442000,17991000,15914000,12268000
38962000,37539000,44044000,35300000,31100000,32534000
0,0,0,0,2112600,0
39103000,33544000,38592000,31101000,26188000,29759000
194360000,182870000,178340000,151880000,144740000,134120000
154070000,131460000,132920000,103950000,97249000,111510000
23123000,23572000,30191000,12498000,18410000,18427000
11628000,13044000,10248000,17369000,17035000,19667000
8039500,8623800,9270800,24154000,24826000,21666000
31638000,31134000,27223000,23888000,18156000,19941000
87187000,88356000,71802000,111730000,143100000,110640000
8059400,7884700,5609900,19696000,20005000,16728000
27535000,23308000,24277000,27550000,23494000,24220000
6811400,8141600,10334000,16442000,14968000,17952000
24374000,25790000,24685000,25353000,25864000,22764000
16359000,16262000,14014000,23046000,13264000,17220000
72770000,78180000,72243000,27046000,23472000,27607000
2113100,2038800,1159700,1713800,2044900,1220600
681320000,354060000,607590000,1139900000,853460000,1117200000
16930000,16725000,15754000,8467200,10070000,11790000
26132000,25319000,32431000,15091000,17580000,9563900
15354000,11088000,8177100,7596000,6268000,0
15673000,20414000,15127000,28590000,26101000,28221000
7961300,9046400,5695500,17078000,17578000,17006000
29702000,29542000,31773000,57196000,52238000,53616000
12520000,12550000,10941000,29324000,28891000,24109000
64380000,77126000,50389000,41920000,47392000,45671000
71201000,80260000,77456000,156340000,166050000,157350000
87040000,81434000,84660000,129440000,144260000,128380000
15962000,21053000,10847000,24832000,21710000,22566000
141120000,141900000,111650000,173870000,168800000,173150000
35877000,31538000,39687000,41649000,35910000,47325000
2759700,4194000,0,20431000,18295000,15046000
29436000,45720000,50356000,27772000,20641000,36121000
14738000,15240000,13032000,2475800,2563900,0
22034000,16404000,15822000,11990000,11820000,11959000
99768000,83403000,117580000,53504000,54956000,57095000
1378100,1637100,1538800,1763700,3878700,1657600
0,0,0,0,0,344420
3670400,2488700,3080100,6220300,7582700,5909600
0,0,2157800,0,0,0
0,0,0,2869400,3241200,3259700
82572000,101660000,90825000,29429000,29902000,26439000
5960700,2627400,3300300,2818300,1972300,0
0,0,0,0,0,2166500
81935000,84737000,82962000,56221000,62061000,53938000
0,0,0,0,0,2728700
15364000,15821000,12902000,0,0,13293000
1981300,2207300,2862200,2289600,2084800,2527900
10132000,14159000,11647000,12926000,15108000,14551000
0,3259200,0,0,0,0
737760000,632740000,560700000,308150000,344450000,423060000
3194900,0,0,3333500,3057200,3440300
240480000,283090000,286170000,527480000,499110000,511080000
42146000,50406000,45606000,69972000,68978000,64859000
3154200,2873400,2649500,3806600,5094200,3920600
21096000,20548000,21289000,7108800,8898500,6469000
2555800,0,0,0,0,0
22471000,17358000,22390000,7462300,9021200,8590100
10872000,10947000,9670400,18730000,24340000,16813000
6590400,3990800,2326000,2992200,3538600,5361800
10525000,28864000,30886000,0,673660,1136400
152000000,179880000,152610000,114050000,133380000,131660000
41902000,42328000,45716000,74568000,85123000,73885000
903640000,624860000,672550000,1367000000,1380700000,1437600000
32363000,33234000,31704000,20167000,23005000,17711000
3041200,4125400,3232100,4048700,3479600,3707100
291400000,319850000,260700000,202350000,224120000,182000000
240660000,230790000,236560000,227960000,260700000,275580000
0,0,0,0,0,1159800
46692000,48963000,42413000,71436000,73770000,71329000
38329000,52245000,41522000,54220000,59273000,51515000
0,0,0,13194000,10041000,7523100
32916000,35582000,38289000,46074000,46289000,48783000
0,0,0,0,3652800,0
65414000,57018000,48974000,89978000,90377000,82347000
0,2631300,1539100,1997800,1977500,3037700
33193000,36750000,32312000,57862000,53800000,42051000
0,0,3265100,4675800,3917200,4313300
4281800,0,0,0,0,0
0,0,0,698590,0,0
7182900,5295800,7009300,24239000,26212000,21629000
4627500,7138900,4803200,5530100,6219800,4028700
59872000,76750000,64921000,74812000,74203000,71611000
1812600,1956400,2048700,1408900,859000,0
186880000,170000000,157070000,148270000,189840000,181020000
6244000,6608200,8573300,5395300,6241300,3252400
977920000,987330000,1130600000,1230500000,1421600000,1501500000
42203000,39498000,37328000,61232000,50781000,56179000
173550000,158180000,163850000,165310000,190340000,183110000
100310000,92743000,91415000,63098000,67440000,70516000
5760300,11657000,0,9209300,10358000,11055000
25437000,35996000,23773000,24710000,27105000,25437000
23754000,21575000,18654000,16924000,18170000,15424000
3464100,0,0,4055900,4237000,4086300
35476000,35428000,33944000,30367000,33247000,26533000
26275000,32470000,33152000,60427000,49591000,52857000
15780000,16717000,16048000,18757000,18043000,14717000
0,0,0,4662800,8497300,4719100
145500000,137960000,130120000,117520000,107700000,97783000
0,0,0,0,1691300,0
124860000,104340000,129400000,92315000,94740000,81389000
54982000,50833000,72351000,11003000,17017000,20343000
5925800,5743200,8049400,0,0,0
0,0,0,0,7393700,0
929630,0,0,0,0,0
3177800,10622000,5291200,0,5484800,0
2237100,2328700,0,0,2098300,0
