Gene_names	logFC	adj.P.Val	Regulation
NDNF	6.565243442139611	0.0001929605130845946	Up
CRABP2	5.805437488782162	0.0001929605130845946	Up
SYNM	-4.898659035979911	0.00034697602930777727	Down
IGF2BP1	2.8909988356917053	0.0005008936361091358	Up
LIN28A	7.531587628509579	0.0005008936361091358	Up
PLXNA4	-4.357817818953568	0.0005008936361091358	Down
CRIP1	4.986427329223716	0.0005008936361091358	Up
LY6H	-5.230858060532221	0.0005008936361091358	Down
MCM2	2.3145761735385157	0.0005008936361091358	Up
KIAA1324L	2.272837724288011	0.0005008936361091358	Up
CD44	-4.818357937689059	0.0005008936361091358	Down
SERPINB9	4.577092701377477	0.0005008936361091358	Up
HS3ST3B1	4.231820713858899	0.0005008936361091358	Up
DNMT3B	6.013456326905219	0.0005008936361091358	Up
P2RX3	3.9810491878808514	0.000516388023561006	Up
H1F0	2.9465011310328038	0.0005166828987885619	Up
CRABP1	4.2674635506543614	0.0005341369360285191	Up
MYO1B	2.3411394505591	0.0005341369360285191	Up
MMP14	-3.4451590413631994	0.0005341369360285191	Down
GDPD2	-4.64799428464958	0.0005341369360285191	Down
MAOB	-4.051107201390341	0.0005341369360285191	Down
L1TD1	4.913355618606546	0.0005597270222977543	Up
RFTN1	-3.6935890042777166	0.000580866941635323	Down
MCM4	2.198595224747592	0.000580866941635323	Up
EPB41L3	-2.2376785975841393	0.000580866941635323	Down
MVP	-2.3577613098889563	0.0005908848903617584	Down
SCGN	-9.412462261097208	0.0005908848903617584	Down
OLFML3	3.767421893983681	0.0005908848903617584	Up
UBN2	3.3705620539058927	0.0005938862630402306	Up
WDR36	2.015492234385288	0.0005938862630402306	Up
MSH6	2.1487384795286992	0.0005938862630402306	Up
NID2	7.075315327958904	0.0005938862630402306	Up
RPS6KA1	4.634566907089302	0.0005938862630402306	Up
SYNPO	-5.657898374465933	0.0005938862630402306	Down
MCM3	2.1621522267606097	0.0005938862630402306	Up
VPS13D	-4.146774173242049	0.0005938862630402306	Down
ALDH4A1	-3.0584258856831767	0.0005938862630402306	Down
SFRP2	8.502429083288234	0.0005938862630402306	Up
FLNA	-1.8262566328378815	0.0005938862630402306	Down
PON2	-2.4650236005567963	0.0005938862630402306	Down
TRIM71	5.20841125290168	0.0005938862630402306	Up
PARP4	-3.0379548648212897	0.0006265549449566447	Down
HTRA1	-2.3690285735244854	0.0006265549449566447	Down
MCM5	2.2944363429080106	0.0006265549449566447	Up
FLNC	-2.1316815649535066	0.0006919720314071348	Down
LGALS3BP	-2.479263079883591	0.0006948247432629895	Down
PPP2R1B	2.8409167322834277	0.0006948247432629895	Up
CHD7	2.7700342088743377	0.0006948247432629895	Up
DLK1	-3.4641977372252337	0.0006948247432629895	Down
SPATS2L	-2.4936556733680186	0.0006948247432629895	Down
CRISPLD1	-2.8970162799666133	0.0006948247432629895	Down
TUBB4A	2.3889798488541203	0.0006948247432629895	Up
RTL1	-3.282006499460695	0.0006948247432629895	Down
NTN1	-4.9282724390067365	0.0007157928897908738	Down
MAN2B1	-2.497952654256963	0.0007223833145937997	Down
ALDH1A1	2.334201064706734	0.0007223833145937997	Up
SMARCC1	2.5166839922249715	0.0007223833145937997	Up
PARP1	1.8277619439276798	0.0007223833145937997	Up
MAP1A	-1.5912140364873912	0.0007223833145937997	Down
TYMS	3.551561877058869	0.0007223833145937997	Up
ELN	-2.337058726271721	0.0007420028084359523	Down
AOX1	3.2442026654356346	0.0007457564562956057	Up
MX1	5.2681669798148905	0.0007457564562956057	Up
GAB1	-3.368233798093795	0.0007457564562956057	Down
GPD1	-6.064020337055792	0.000770956540466905	Down
PEG10	-2.4689802524480604	0.0007849083602492626	Down
CETN2	-2.4241387217885224	0.0007849083602492626	Down
