"Gene","Degree","Betweenness","Closeness","logFC","adj.P.Val","Regulation"
"SLC2A1",20,707.417262450935,0.0025706940874036,6.12151942413335,0.00122614282280311,"Up"
"LDHA",20,440.724405797705,0.00241545893719807,2.31764670482714,0.00099076920892175,"Up"
"CTSD",18,319.396147365948,0.00224719101123596,-1.836189743255,0.00080544569852594,"Down"
"ITGAV",18,160.561633625461,0.00234741784037559,-2.40271144156678,0.00080544569852594,"Down"
"IFI16",18,501.839310027452,0.00230414746543779,1.6062926149136,0.00120915058657657,"Up"
"EPHA2",18,880.580736979233,0.00228310502283105,2.02757629173175,0.00148180092395823,"Up"
"LIN28A",18,364.908400191632,0.00241545893719807,7.53158762850958,0.00050089363610913,"Up"
"MYBBP1A",18,0,0.00189393939393939,1.23513051205804,0.00167301459527908,"Up"
"S100B",16,127.076437439843,0.00231481481481481,-7.5889011004542,0.00080544569852594,"Down"
"FLNC",16,126.191245811243,0.0020746887966805,-2.13168156495351,0.00069197203140713,"Down"
"MMP14",16,192.591408619184,0.00241545893719807,-3.4451590413632,0.00053413693602851,"Down"
"MAK16",16,0,0.00189035916824197,1.24403268508266,0.00129866485181855,"Up"
"H1F0",16,145.850599664669,0.00248756218905473,2.9465011310328,0.00051668289878856,"Up"
"GDNF",16,577.961983808099,0.00218340611353712,3.59441931208912,0.00105414672884895,"Up"
"ACTN4",14,53.5935809703505,0.00199600798403194,-1.28294948102827,0.00109678809014587,"Down"
"LGALS1",14,39.0120676202054,0.00223214285714286,-1.74082760173686,0.00086750078244584,"Down"
"SMARCC1",14,76.6671392518869,0.00224215246636771,2.51668399222497,0.00072238331459379,"Up"
"GLB1",14,279.045487902133,0.00210970464135021,-1.57241693184646,0.00099076920892175,"Down"
"BAG3",14,361.217629106421,0.00234741784037559,-1.87715975444107,0.00158623873312197,"Down"
"ALCAM",14,114.057051651876,0.00232558139534884,-6.18601051823209,0.00129866485181855,"Down"
"IGF2BP3",12,158.647650467197,0.00238663484486874,1.98648082829633,0.00088441957074534,"Up"
"PCK1",12,109.650745326322,0.00204918032786885,-2.2227987454888,0.00082050644851333,"Down"
"TRIM25",12,251.87963191779,0.00206611570247934,-1.86754074126201,0.00102931996705347,"Down"
"CHD1L",12,58.4597139378208,0.00223214285714286,4.08912361468338,0.00150681363545381,"Up"
"IGF2BP1",12,192.705963182881,0.00216450216450216,2.89099883569171,0.00050089363610913,"Up"
"NRCAM",12,206.293987894777,0.0018450184501845,-1.32993624108212,0.00115789550652866,"Down"
"CTSA",12,22.7249128215488,0.00188679245283019,-2.52778684223702,0.00105414672884895,"Down"
"MAOB",12,186.955166164305,0.00215982721382289,-4.05110720139034,0.00053413693602851,"Down"
"GLDC",12,204.652170788971,0.00208768267223382,1.6409533496592,0.00088441957074534,"Up"
"NUDCD1",10,304.898258616952,0.00232018561484919,1.28635268815957,0.00158148684075818,"Up"
"BHMT",10,133.632389969778,0.00206185567010309,2.43031832253942,0.00105414672884895,"Up"
"CTSL",10,34.2486519827097,0.0019047619047619,-1.5010106055816,0.00152238551834109,"Down"
"ENO3",10,191.02178629236,0.00205338809034908,2.91941256695942,0.0008505388109952,"Up"
"PIPOX",10,18.4576048205844,0.00172711571675302,-3.2227707035372,0.0013440101926384,"Down"
"ALDH1B1",10,89.684886501458,0.0018348623853211,1.51453677608274,0.00143228777778032,"Up"
"SPTBN1",10,182.781172336435,0.00187617260787992,-1.46441381721659,0.00158148684075818,"Down"
"PTPRZ1",10,31.8821119269337,0.001953125,-1.74210444961388,0.00099076920892175,"Down"
"CETN2",10,2.8017316017316,0.00217391304347826,-2.42413872178852,0.00078490836024926,"Down"
