"Gene_names","logFC","adj.P.Val","Regulation","STRING_id"
"NLRP7",4.16918270352628,0.00078490836024926,"Up","9606.ENSP00000467123"
"BAZ2A",2.97449440624965,0.00078490836024926,"Up","9606.ENSP00000446880"
"IQGAP1",-1.83437327487008,0.00078490836024926,"Down","9606.ENSP00000268182"
"NOL7",3.1247298792964,0.00078490836024926,"Up","9606.ENSP00000405674"
"COX6B1",-2.19949477397995,0.00078490836024926,"Down","9606.ENSP00000466818"
"GNG11",-6.02181406288813,0.00078490836024926,"Down","9606.ENSP00000248564"
"RCC2",1.70358137228985,0.00078490836024926,"Up","9606.ENSP00000364585"
"PLIN2",3.46324897025231,0.00078490836024926,"Up","9606.ENSP00000276914"
"PDLIM3",-3.69473370572985,0.00078490836024926,"Down","9606.ENSP00000284767"
"CTSD",-1.836189743255,0.00080544569852594,"Down","9606.ENSP00000236671"
"ITGAV",-2.40271144156678,0.00080544569852594,"Down","9606.ENSP00000261023"
"HBB",1.8429801380645,0.00080544569852594,"Up","9606.ENSP00000494175"
"CDH6",-2.70418181366404,0.00080544569852594,"Down","9606.ENSP00000265071"
"ZMYND8",1.42069359171716,0.00080544569852594,"Up","9606.ENSP00000439800"
"S100B",-7.5889011004542,0.00080544569852594,"Down","9606.ENSP00000291700"
"SPON1",-6.38629173463945,0.00080544569852594,"Down","9606.ENSP00000460236"
"ASPSCR1",1.82877214032059,0.00080544569852594,"Up","9606.ENSP00000306625"
"WDR70",1.54235693671616,0.00080544569852594,"Up","9606.ENSP00000265107"
"GPRC5C",-1.8007088620877,0.00082050644851333,"Down","9606.ENSP00000499092"
"PCK1",-2.2227987454888,0.00082050644851333,"Down","9606.ENSP00000319814"
"ENO3",2.91941256695942,0.0008505388109952,"Up","9606.ENSP00000324105"
"CC2D1A",-1.64621395898746,0.00086282970475644,"Down","9606.ENSP00000313601"
"ATAD3B",4.18979994533994,0.00086282970475644,"Up","9606.ENSP00000500094"
"B4GAT1",-2.81285751474707,0.00086282970475644,"Down","9606.ENSP00000309096"
"CAPN5",-1.72849796059274,0.0008673492963315,"Down","9606.ENSP00000498132"
"MAP2K6",1.66785272916572,0.00086750078244584,"Up","9606.ENSP00000468348"
"NUCB2",-1.47371378587122,0.00086750078244584,"Down","9606.ENSP00000436455"
"LGALS1",-1.74082760173686,0.00086750078244584,"Down","9606.ENSP00000215909"
"IGF2BP3",1.98648082829633,0.00088441957074534,"Up","9606.ENSP00000258729"
"NASP",1.97470784076285,0.00088441957074534,"Up","9606.ENSP00000255120"
"GLDC",1.6409533496592,0.00088441957074534,"Up","9606.ENSP00000370737"
"TMOD1",-4.62482677128474,0.00089479226001609,"Down","9606.ENSP00000259365"
"SFRP1",3.58044735760624,0.00092302595615506,"Up","9606.ENSP00000220772"
"MCM7",2.22890914351426,0.00092302595615506,"Up","9606.ENSP00000307288"
"KIF2C",4.38875153118943,0.00092302595615506,"Up","9606.ENSP00000361298"
"RPRD1A",1.52363389806446,0.0009323053989401,"Up","9606.ENSP00000381984"
"EPDR1",-2.1436057038764,0.0009323053989401,"Down","9606.ENSP00000199448"
"MBNL1",-3.07183178796938,0.00094551902312653,"Down","9606.ENSP00000282486"
"PTPRZ1",-1.74210444961388,0.00099076920892175,"Down","9606.ENSP00000377047"
"LDHA",2.31764670482714,0.00099076920892175,"Up","9606.ENSP00000445175"
"B2M",-2.08952349009672,0.00099076920892175,"Down","9606.ENSP00000497910"
"CNPY4",-1.83334256624838,0.00099076920892175,"Down","9606.ENSP00000262932"
"GLB1",-1.57241693184646,0.00099076920892175,"Down","9606.ENSP00000306920"
"WDHD1",6.56220189804661,0.00099076920892175,"Up","9606.ENSP00000353793"
"DDX21",1.8179619640756,0.00099076920892175,"Up","9606.ENSP00000346120"
"HEATR5A",-1.38196015598758,0.00099076920892175,"Down","9606.ENSP00000437968"
"TRIM25",-1.86754074126201,0.00102931996705347,"Down","9606.ENSP00000323889"
"BHMT",2.43031832253942,0.00105414672884895,"Up","9606.ENSP00000274353"
"CTSA",-2.52778684223702,0.00105414672884895,"Down","9606.ENSP00000361562"
"SQRDL",-5.08898589052486,0.00105414672884895,"Down","9606.ENSP00000456019"
"PAG1",-3.12333261310037,0.00105414672884895,"Down","9606.ENSP00000220597"
"GDNF",3.59441931208912,0.00105414672884895,"Up","9606.ENSP00000409007"
"TACC1",-2.06433834890023,0.00105414672884895,"Down","9606.ENSP00000321703"
"TAF9B",1.84131913330834,0.00106371170189077,"Up","9606.ENSP00000339917"
"SPOCK1",2.32155090301087,0.00106371170189077,"Up","9606.ENSP00000378401"
"CTSH",-4.80921130535773,0.00106611473859988,"Down","9606.ENSP00000220166"
"ANP32E",1.42058297419534,0.00106611473859988,"Up","9606.ENSP00000463154"
"ACTN4",-1.28294948102827,0.00109678809014587,"Down","9606.ENSP00000252699"
"SALL2",1.9096566562275,0.00110705795708533,"Up","9606.ENSP00000483562"
"POLD1",2.35845410469772,0.00110857471779369,"Up","9606.ENSP00000472445"
"SPCS3",-3.3880639838968,0.00114856755573002,"Down","9606.ENSP00000427463"
"NRCAM",-1.32993624108212,0.00115789550652866,"Down","9606.ENSP00000368314"
