gene1	gene2	combined_score
NUDCD1	DDX21	684
NUDCD1	DDX21	684
TRIM25	DDX21	579
TRIM25	DDX21	579
TMOD1	ADD3	939
TMOD1	ADD3	939
ACTN4	SPTBN1	489
ACTN4	SPTBN1	489
IQGAP1	SPTBN1	668
IQGAP1	SPTBN1	668
EPB41L3	SPTBN1	894
EPB41L3	SPTBN1	894
ADD3	SPTBN1	535
ADD3	SPTBN1	535
ITGAV	EPHA2	641
ITGAV	EPHA2	641
IQGAP1	EPHA2	432
IQGAP1	EPHA2	432
GPD1	EPHA2	767
GPD1	EPHA2	767
MMP14	EPHA2	429
MMP14	EPHA2	429
EPHA3	EPHA2	546
EPHA3	EPHA2	546
MCM5	ELN	718
MCM5	ELN	718
NID2	ELN	703
NID2	ELN	703
PXDN	ELN	522
PXDN	ELN	522
MCM4	ELN	806
MCM4	ELN	806
MCM6	ELN	427
MCM6	ELN	427
MCM2	ELN	610
MCM2	ELN	610
GLB1	ELN	987
GLB1	ELN	987
MCM7	ELN	550
MCM7	ELN	550
MMP14	ELN	587
MMP14	ELN	587
CTSL	ELN	418
CTSL	ELN	418
ALDH1A1	AKR1B10	437
ALDH1A1	AKR1B10	437
GLB1	AKR1B10	902
GLB1	AKR1B10	902
CEBPZ	MAK16	878
CEBPZ	MAK16	878
DDX21	MAK16	605
DDX21	MAK16	605
MCM5	WDHD1	999
MCM5	WDHD1	999
MSH2	WDHD1	694
MSH2	WDHD1	694
MSH6	WDHD1	708
MSH6	WDHD1	708
SMARCC1	WDHD1	568
SMARCC1	WDHD1	568
MCM4	WDHD1	999
MCM4	WDHD1	999
MCM6	WDHD1	998
MCM6	WDHD1	998
MCM2	WDHD1	998
MCM2	WDHD1	998
NUF2	WDHD1	556
NUF2	WDHD1	556
FEN1	WDHD1	889
FEN1	WDHD1	889
MCM7	WDHD1	996
MCM7	WDHD1	996
TYMS	WDHD1	559
TYMS	WDHD1	559
NCAPD2	WDHD1	456
NCAPD2	WDHD1	456
CEBPZ	GTPBP4	983
CEBPZ	GTPBP4	983
CA2	GTPBP4	406
CA2	GTPBP4	406
DDX21	GTPBP4	813
DDX21	GTPBP4	813
MAK16	GTPBP4	997
MAK16	GTPBP4	997
GPC2	HS3ST3B1	526
GPC2	HS3ST3B1	526
CEBPZ	HEATR1	942
CEBPZ	HEATR1	942
DDX21	HEATR1	500
DDX21	HEATR1	500
GTPBP4	HEATR1	933
GTPBP4	HEATR1	933
MCM5	PARP1	446
MCM5	PARP1	446
VRK1	PARP1	640
VRK1	PARP1	640
NAMPT	PARP1	567
NAMPT	PARP1	567
MSH2	PARP1	713
MSH2	PARP1	713
MSH6	PARP1	798
MSH6	PARP1	798
PXDN	PARP1	733
PXDN	PARP1	733
SMARCC1	PARP1	402
SMARCC1	PARP1	402
MCM4	PARP1	526
MCM4	PARP1	526
MCM6	PARP1	490
MCM6	PARP1	490
MCM2	PARP1	461
MCM2	PARP1	461
MAP1A	PARP1	442
MAP1A	PARP1	442
FEN1	PARP1	941
FEN1	PARP1	941
MCM7	PARP1	664
MCM7	PARP1	664
PCSK1	PARP1	427
PCSK1	PARP1	427
TYMS	PARP1	440
TYMS	PARP1	440
NCAPD2	PARP1	428
NCAPD2	PARP1	428
DNMT3B	PARP1	543
DNMT3B	PARP1	543
H1F0	PARP1	795
H1F0	PARP1	795
DDX21	PARP1	573
DDX21	PARP1	573
DNMT3B	KDM5B	415
DNMT3B	KDM5B	415
ASH2L	KDM5B	554
ASH2L	KDM5B	554
TRIM25	IFI16	403
TRIM25	IFI16	403
DDX21	IFI16	444
DDX21	IFI16	444
PARP1	IFI16	405
PARP1	IFI16	405
PDLIM3	BAG3	529
PDLIM3	BAG3	529
S100B	BAG3	401
S100B	BAG3	401
MCM7	BAG3	407
MCM7	BAG3	407
FLNC	BAG3	917
FLNC	BAG3	917
PARP1	BAG3	611
PARP1	BAG3	611
MCM5	CHD1L	409
MCM5	CHD1L	409
NUDCD1	CHD1L	626
NUDCD1	CHD1L	626
PARP1	CHD1L	977
PARP1	CHD1L	977
CEBPZ	PDCD11	999
CEBPZ	PDCD11	999
TYMS	PDCD11	439
TYMS	PDCD11	439
ENO3	PDCD11	537
ENO3	PDCD11	537
DDX21	PDCD11	544
DDX21	PDCD11	544
MAK16	PDCD11	544
MAK16	PDCD11	544
GTPBP4	PDCD11	928
GTPBP4	PDCD11	928
HEATR1	PDCD11	999
HEATR1	PDCD11	999
KDM5B	PDCD11	474
KDM5B	PDCD11	474
IFI16	PDCD11	540
IFI16	PDCD11	540
LGALS1	FLNA	400
LGALS1	FLNA	400
ACTN4	FLNA	595
ACTN4	FLNA	595
TMOD1	FLNA	617
TMOD1	FLNA	617
ITGAV	FLNA	729
ITGAV	FLNA	729
IQGAP1	FLNA	952
IQGAP1	FLNA	952
MCM7	FLNA	423
MCM7	FLNA	423
FLNC	FLNA	907
FLNC	FLNA	907
SYNM	FLNA	549
SYNM	FLNA	549
BAG3	FLNA	428
BAG3	FLNA	428
MSH2	CETN2	917
MSH2	CETN2	917
MSH6	CETN2	917
MSH6	CETN2	917
PARP1	CETN2	760
PARP1	CETN2	760
CHD1L	CETN2	597
CHD1L	CETN2	597
PDLIM3	SORBS1	468
PDLIM3	SORBS1	468
MCM5	KIF2C	499
MCM5	KIF2C	499
NASP	KIF2C	547
NASP	KIF2C	547
MCM4	KIF2C	617
MCM4	KIF2C	617
MCM6	KIF2C	522
MCM6	KIF2C	522
MCM2	KIF2C	569
MCM2	KIF2C	569
NUF2	KIF2C	935
NUF2	KIF2C	935
FEN1	KIF2C	699
FEN1	KIF2C	699
MCM7	KIF2C	666
MCM7	KIF2C	666
TYMS	KIF2C	607
TYMS	KIF2C	607
NCAPD2	KIF2C	619
NCAPD2	KIF2C	619
WDHD1	KIF2C	447
WDHD1	KIF2C	447
CTSH	CTSA	526
CTSH	CTSA	526
CTSD	CTSA	824
CTSD	CTSA	824
GLB1	CTSA	999
GLB1	CTSA	999
CTSL	CTSA	554
CTSL	CTSA	554
ELN	CTSA	847
ELN	CTSA	847
IGF2BP3	LIN28A	763
IGF2BP3	LIN28A	763
IGF2BP1	LIN28A	748
IGF2BP1	LIN28A	748
ALDH1A1	LIN28A	436
ALDH1A1	LIN28A	436
TRIM25	LIN28A	600
TRIM25	LIN28A	600
DNMT3B	LIN28A	754
DNMT3B	LIN28A	754
H1F0	LIN28A	565
H1F0	LIN28A	565
HEXB	FUCA1	500
HEXB	FUCA1	500
GLB1	FUCA1	776
GLB1	FUCA1	776
CEBPZ	BMS1	939
CEBPZ	BMS1	939
TAF9B	BMS1	443
TAF9B	BMS1	443
DDX21	BMS1	619
DDX21	BMS1	619
MAK16	BMS1	886
MAK16	BMS1	886
GTPBP4	BMS1	943
GTPBP4	BMS1	943
HEATR1	BMS1	999
HEATR1	BMS1	999
IFI16	BMS1	685
IFI16	BMS1	685
PDCD11	BMS1	999
PDCD11	BMS1	999
ALDH1A1	AOX1	951
ALDH1A1	AOX1	951
PIPOX	ALDH4A1	412
PIPOX	ALDH4A1	412
MCM5	RCC2	439
MCM5	RCC2	439
MCM2	RCC2	421
MCM2	RCC2	421
NCAPD2	RCC2	412
NCAPD2	RCC2	412
KIF2C	RCC2	682
KIF2C	RCC2	682
BHMT	ALDH1B1	473
BHMT	ALDH1B1	473
PIPOX	ALDH1B1	405
PIPOX	ALDH1B1	405
AKR1B10	ALDH1B1	935
AKR1B10	ALDH1B1	935
ALDH4A1	ALDH1B1	852
ALDH4A1	ALDH1B1	852
PXDN	MAOB	478
PXDN	MAOB	478
ALDH1A1	MAOB	467
ALDH1A1	MAOB	467
AKR1B10	MAOB	457
AKR1B10	MAOB	457
AOX1	MAOB	969
AOX1	MAOB	969
ALDH1B1	MAOB	941
ALDH1B1	MAOB	941
NTN1	NRCAM	420
NTN1	NRCAM	420
SPTBN1	NRCAM	811
SPTBN1	NRCAM	811
EPHA2	NRCAM	418
EPHA2	NRCAM	418
PLXNA4	NRCAM	406
PLXNA4	NRCAM	406
MSH2	REEP5	734
MSH2	REEP5	734
MSH6	REEP5	728
MSH6	REEP5	728
CRABP1	REEP5	570
CRABP1	REEP5	570
LGALS1	CD99	449
LGALS1	CD99	449
BHMT	GLDC	823
BHMT	GLDC	823
TYMS	GLDC	919
TYMS	GLDC	919
PIPOX	GLDC	968
PIPOX	GLDC	968
ALDH4A1	GLDC	862
ALDH4A1	GLDC	862
CEBPZ	MYBBP1A	844
CEBPZ	MYBBP1A	844
